Synonym,Root Canonical Name
Phoma subnervisequa,Phomopsis subnervisequa
Phyllosticta subnervisequa,Phomopsis subnervisequa
Byssosphaeria phaeostroma,Chaetosphaerella phaeostroma
Sphaeria tristis var. beta,Chaetosphaerella phaeostroma
Sphaeria phaeostroma,Chaetosphaerella phaeostroma
Chaetosphaeria phaeostroma,Chaetosphaerella phaeostroma
Thaxteria phaeostroma,Chaetosphaerella phaeostroma
Ophiobolus cf. mathieui,Ophiobolus
Ophiobolus cf. rubellus,Ophiobolus
Physarum reticulatum,Willkommlangea reticulata
Cienkowskia reticulata,Willkommlangea reticulata
Panaeolus castaneifolius,Panaeolus olivaceus
Cylindrium cf. aeruginosum,Cylindrium
Bulgaria pulla,Bulgariella pulla
Corticium confine,Trechispora confinis
Cristella confinis,Trechispora confinis
Septoria donacis,Pseudoseptoria donacis
Septoria oxyspora,Pseudoseptoria donacis
Selenophoma donacis,Pseudoseptoria donacis
Erysibe orbicularis,Phyllactinia orbicularis
Agaricus campanulatus c minor,Stagnicola perplexa
Naucoria cidaris var. minor,Stagnicola perplexa
Phaeocollybia perplexa,Stagnicola perplexa
Verrucaria rhodosticta,Cryptothele rhodosticta
Astrosporina umboninota,Inocybe acuta
Corticium subflavidogriseum,Phlebiella subflavidogrisea
Pouzaromyces dysthaloides,Entoloma dysthaloides
Peziza eucalypti,Hymenotorrendiella eucalypti
Zoellneria eucalypti,Hymenotorrendiella eucalypti
Torrendiella eucalypti,Hymenotorrendiella eucalypti
Agaricus haematites,Cystoderma superbum
Armillaria haematites,Cystoderma superbum
Lepiota haematites,Cystoderma superbum
Sphaeria atrograna,Immotthia atrograna
Lepiota tomentella,Lepiota cingulum
Bovistella radicata,Lycoperdon radicatum
Alyxoria subelevata,Opegrapha subelevata
Agaricus ianthinus,Leucocoprinus ianthinus
Lepiota ianthina,Leucocoprinus ianthinus
Lepiota lilacinogranulosa,Leucocoprinus ianthinus
Leucocoprinus lilacinogranulosus,Leucocoprinus ianthinus
Leucocoprinus lilacinogranulosus var. subglobisporus,Leucocoprinus ianthinus
Panaeolus cf. foenisecii,Panaeolina
Clitopilus septicoides,Clitopilus hobsonii
Agaricus hobsonii,Clitopilus hobsonii
Pleurotus hobsonii,Clitopilus hobsonii
Octojuga pleurotelloides,Clitopilus hobsonii
Octojuga fayodii,Clitopilus hobsonii
Clitopilus pleurotelloides,Clitopilus hobsonii
Phoma buddlejae,Coniothyrium buddlejae
Leucostoma cf. nivea,Leucostoma
Opegrapha persoonii,Opegrapha rupestris
Leciographa parasitica,Opegrapha rupestris
Opegrapha monspeliensis,Opegrapha rupestris
Borrera,Teloschistes
Xanthoanaptychia,Teloschistes
Lemonniera cf. filiformis,Lemonniera
Phoma cf. ammophilae,Phoma
Phoma cf. clematidina,Phoma
Phoma cf. collabens,Phoma
Phoma cf. complanata,Phoma
Phoma cf. crataegicola,Phoma
Phoma cf. depressa,Phoma
Phoma cf. elymi,Phoma
Phoma cf. exigua,Phoma
Phoma cf. iridina,Phoma
Phoma cf. leguminum,Phoma
Phoma cf. lineata,Phoma
Phoma cf. macrostoma,Phoma
Phoma cf. rubella,Phoma
Phoma cf. salicina,Phoma
Phoma cf. sorghina,Phoma
Phoma cf. stagonosporioides,Phoma
Phoma cf. typharum,Phoma
Phoma exigua agg.,Phoma
Sclerophomella,Phoma
Polyopeus,Phoma
Tulasnella anceps,Ceratobasidium anceps
Sclerotium deciduum,Ceratobasidium anceps
Corticium anceps,Ceratobasidium anceps
Thanatephorus anceps,Ceratobasidium anceps
Ceratorhiza decidua,Ceratobasidium anceps
Rhizoctonia anceps,Ceratobasidium anceps
Microsphaera akebiae,Erysiphe akebiae
Uredo orchidis,Pucciniastrum goodyerae
Caeoma orchidis,Pucciniastrum goodyerae
Uredo goodyerae,Pucciniastrum goodyerae
Coprinus sclerocystidiosus,Coprinellus sclerocystidiosus
Boletus fuligineus,Albatrellus fuligineus
Leptothyrium veronicae,Discogloeum veronicae
Agaricus excisus subsp. fagetorum,Mycena fagetorum
Sphaeria inquinans var. ulmi,Hapalocystis bicaudata
Melanconis berkeleyi,Hapalocystis bicaudata
Pseudovalsa berkeleyi,Hapalocystis bicaudata
Prosthecium berkeleyi,Hapalocystis bicaudata
Sphaeria doliolum,Leptosphaeria doliolum var. doliolum
Cryptosphaeria doliolum,Leptosphaeria doliolum var. doliolum
Heptameria doliolum,Leptosphaeria doliolum var. doliolum
Sordaria lanuginosa,Arnium olerum
Sphaeria olerum,Arnium olerum
Sphaeria brassicae,Mycosphaerella brassicicola
Sordaria curreyi,Arnium olerum
Sordaria neglecta,Arnium olerum
Lasiosphaeria brassicae,Arnium olerum
Podospora neglecta,Arnium olerum
Podospora brassicae,Arnium olerum
Coniochaeta brassicae,Arnium olerum
Lasiosordaria brassicae,Arnium olerum
Helicoma macrocephala,Cirrenalia macrocephala
Torula cf. pulveracea,Torula
Hormiscium,Torula
Illosporium roseum,Marchandiomyces corallinus
Illosporium roseum var. corallinum,Marchandiomyces corallinus
Illosporium corallinum,Marchandiomyces corallinus
Aegerita physciae,Marchandiomyces corallinus
Peziza hystrix,Pyrenopeziza hystrix
Dematium herbarum,Mycosphaerella tassiana
Cladosporium herbarum,Mycosphaerella tassiana
Cladosporium graminum,Mycosphaerella tassiana
Sphaerella tassiana,Mycosphaerella tassiana
Cladosporium kniphofiae,Mycosphaerella tassiana
Sphaerella tulasnei,Mycosphaerella tassiana
Mycosphaerella tulasnei,Mycosphaerella tassiana
Monilia herbarum,Torula herbarum
Peziza prasinula,Claussenomyces prasinulus
Helotium glabrovirens,Claussenomyces prasinulus
Belonidium clarkei,Claussenomyces prasinulus
Dendrostilbella prasinula,Claussenomyces prasinulus
Corynella glabrovirens,Claussenomyces prasinulus
Corynella prasinula,Claussenomyces prasinulus
Ramalina minuscula var. obtusata,Ramalina canariensis
Galera pseudobadipes,Galerina ampullaceocystis
Agaricus camerinus,Galerina ampullaceocystis
Naucoria camerina,Galerina ampullaceocystis
Galera camerina,Galerina ampullaceocystis
Galerina pseudobadipes,Galerina ampullaceocystis
Pseudocyphellaria mougeotiana var. aurigera,Pseudocyphellaria crocata
Lichen crocatus,Pseudocyphellaria crocata
Sticta aurata,Pseudocyphellaria crocata
Sticta crocata,Pseudocyphellaria crocata
Lichen auratus,Pseudocyphellaria crocata
Sticta aurigera,Pseudocyphellaria crocata
Crocodia aurata,Pseudocyphellaria crocata
Stictina crocata,Pseudocyphellaria crocata
Pseudocyphellaria aurata,Pseudocyphellaria crocata
Celidium keisslerianum,Pseudocyphellaria crocata
Agaricus epipterygius,Mycena epipterygia
Agaricus flavipes,Mycena epipterygia
Agaricus nutans,Mycena epipterygia
Agaricus citrinellus,Mycena epipterygia
Mycena epipterygia var. epipterygia,Mycena epipterygia
Mycena epipterygia � nutans,Mycena epipterygia
Mycena flavipes,Mycena renati
Agaricus citrinellus var. candidus,Mycena epipterygia
Agaricus plicatocrenatus,Mycena epipterygia
Mycena citrinella,Mycena epipterygia
Mycena citrinella var. candida,Mycena epipterygia
Mycena plicatocrenata,Mycena epipterygia
Mycena viscosa,Mycena epipterygia
Mycena splendidipes,Mycena epipterygia
Mycena epipterygia var. viscosa,Mycena epipterygia
Mycena epipterygia var. lignicola,Mycena epipterygia
Mycena epipterygia var. badiceps,Mycena epipterygia
Mycena epipterygia var. rubescens,Mycena epipterygia
Mycena epipterygia var. splendidipes,Mycena epipterygia
Spicellum roseum,Trichothecium sympodiale
Phoma sanguinolenta,Plenodomus libanotidis
Hydnum ochraceum,Steccherinum ochraceum
Hydnum denticulatum,Mycoaciella bispora
Hydnum pudorinum,Steccherinum ochraceum
Acia denticulata,Mycoaciella bispora
Mycoleptodon ochraceus,Steccherinum ochraceum
Exoascus pruni,Taphrina pruni
Exoascus insititiae,Taphrina pruni
Taphrina insititiae,Taphrina pruni
Ascomyces pruni,Taphrina pruni
Myxomycota,Myxogastrea
Conocybe tenera var. aurea,Conocybe aurea
Galera aurea,Conocybe aurea
Peziza humuli,Hymenoscyphus humuli
Helotium humuli,Hymenoscyphus humuli
Calycella humuli,Hymenoscyphus humuli
Lichen sophodes,Rinodina sophodes
